"country","eyear","SWD","loser","loser2","divided","prespow1","prespow2","gov_struc","gov_struc2","gender","education","age","econper","gender2","age2"
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.49024721420334,1,1,56
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",5,1.24247990757984,2,1,69
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",5,0.837431534223264,2,0,62
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,-0.0883933191631991,2,0,46
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,-0.377713585846469,1,1,41
"Austria",2013,1,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.258791000856725,3,1,52
"Austria",2013,4,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",3,1.18461585424319,2,1,68
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",7,-1.30353843923293,2,0,25
"Austria",2013,1,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",6,0.605975320876648,2,1,58
"Austria",2013,3,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,1.06888774756988,1,1,66
"Austria",2013,3,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",9,0.200926947520071,2,1,51
"Austria",2013,4,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.258791000856725,2,1,52
"Austria",2013,3,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.721703427549956,1,1,60
"Austria",2013,2,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,-0.8406260125397,3,0,33
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,0.200926947520071,3,0,51
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,0.200926947520071,3,0,51
"Austria",2013,3,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,1.12675180090653,2,1,67
"Austria",2013,1,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,-0.551305745856431,1,1,38
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",8,0.200926947520071,2,1,51
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",3,-1.76645086592616,1,1,17
"Austria",2013,1,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",8,-1.24567438589628,2,1,26
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",9,0.143062894183417,2,1,50
"Austria",2013,2,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",7,-1.30353843923293,2,0,25
"Austria",2013,2,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,1.4160720675898,1,0,72
"Austria",2013,2,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",5,0.0851988408467627,2,0,49
"Austria",2013,2,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.0851988408467627,2,1,49
"Austria",2013,3,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",3,0.258791000856725,2,1,52
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,-0.551305745856431,1,1,38
"Austria",2013,2,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",4,0.49024721420334,3,1,56
"Austria",2013,1,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Male",3,-0.377713585846469,1,1,41
"Austria",2013,1,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,0.143062894183417,1,0,50
"Austria",2013,2,0,"Winner",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,-0.551305745856431,2,0,38
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",4,0.143062894183417,1,0,50
"Austria",2013,3,1,"Loser",1,0.0915087759494781,0.345814913511276,3,"Premier-Presidentialism","Female",5,2.63121718765954,1,0,93
